,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
8820,267,42,21,1,47,0,0,0,0,1856,2289.0346915202995,100.89374550616489,360.0,1.0,2,1,33143,0,25.75,-80.27
8822,386,158,135,1,45,0,0,0,0,1177,1594.8987971656227,103.05379893914042,360.0,1.0,1,1,33141,3,25.89,-80.24
8825,157,178,31,1,43,1,1,0,0,1152,4111.865118311144,207.93714496217848,360.0,1.0,1,1,33139,3,25.79,-80.34
8832,45,227,1,0,43,1,0,0,0,3363,2021.353804332394,160.0307222239331,480.0,1.0,1,1,33140,1,25.86,-80.18
8836,145,310,1,1,42,0,0,0,0,1555,2492.0027000236882,244.90056569935905,360.0,0.0,1,1,33016,1,25.94,-80.17
8838,83,256,1,1,29,1,0,0,0,1749,2280.045121209982,99.89074825462855,360.0,1.0,1,1,33170,3,25.78,-80.2
8839,310,150,159,1,32,1,0,0,0,1315,1817.5689020214033,126.20798942550634,360.0,1.0,2,0,33039,3,25.75,-80.41
8840,374,248,77,1,32,0,1,0,0,1896,1971.5632847294296,93.57505037555694,360.0,1.0,1,0,33184,3,25.76,-80.35
8841,30,210,114,1,39,0,0,1,0,1513,3519.353136201679,240.67557119033427,360.0,1.0,1,1,33183,0,25.77,-80.4
8853,267,127,79,1,39,1,0,0,0,2418,1166.1218487286305,133.06398515364165,180.0,1.0,2,1,33140,3,25.49,-80.24
8854,140,145,114,1,40,0,0,0,0,2388,1394.3426945583526,135.07882364226134,360.0,1.0,0,1,33166,3,25.92,-80.2
8860,234,345,114,1,41,0,0,0,0,5344,1443.8332315070177,147.6899645947238,360.0,0.0,1,1,33149,3,25.78,-80.27
8870,219,323,114,1,20,0,0,1,0,4169,2187.75968516714,195.1242925913553,360.0,0.0,1,1,33054,3,25.75,-80.23
8874,190,221,36,1,44,1,0,0,0,2659,2924.421979548525,106.00822000851929,360.0,1.0,1,0,33144,3,25.88,-80.24
8876,4,117,126,0,21,0,0,0,1,4135,966.4162047291707,295.1851680286339,180.0,1.0,0,1,33032,4,25.89,-80.2
8877,274,189,135,1,21,0,0,0,0,4439,1367.9704017440326,142.17240220481074,360.0,1.0,1,0,33137,0,25.94,-80.3
8879,214,189,101,1,29,1,0,0,0,4897,1876.3493895920533,104.55365571298455,360.0,1.0,1,1,33172,3,25.73,-80.24
8881,43,228,16,1,25,1,0,0,0,1802,1576.9304752370467,176.1541253333715,360.0,1.0,1,0,33054,0,25.94,-80.3
8887,80,110,5,1,45,1,3,0,0,1107,2545.894269803038,186.88901072645115,360.0,1.0,1,1,33032,6,25.92,-80.41
8890,19,261,141,1,27,0,0,0,0,1806,1789.7457570286115,130.52807884274065,360.0,1.0,1,1,33187,0,25.78,-80.46
8893,331,336,135,1,25,0,1,0,0,3611,2195.0187807695283,124.38771206872057,360.0,1.0,1,1,33156,3,25.57,-80.24
8894,45,32,69,1,23,0,2,0,0,1259,1352.9280195409,110.29480862151992,180.0,1.0,1,1,33136,3,25.95,-80.39
8896,353,309,140,1,30,0,2,0,0,3314,2487.527266874669,101.48585621026551,360.0,1.0,1,1,33131,3,25.7,-80.2
8898,351,60,114,1,23,1,0,0,1,828,2422.232240811852,187.01621580387402,360.0,1.0,0,1,33149,1,25.83,-80.28
8899,64,275,101,1,55,0,0,0,0,6228,1085.547458559542,139.62263390604446,360.0,1.0,2,1,33132,3,25.93,-80.26
8901,279,294,174,1,20,1,0,0,0,2413,1131.7390099366696,93.04436889128169,360.0,1.0,0,1,33030,3,25.77,-80.24
8906,361,234,171,1,25,0,3,1,0,1265,3482.775684727785,265.92176785812194,360.0,1.0,2,1,33016,3,25.52,-80.18
8910,19,138,171,1,37,0,0,0,0,1602,1025.8523107060528,144.22231361071584,360.0,1.0,0,1,33033,3,25.56,-80.21
8911,186,6,101,1,40,1,0,1,0,2671,1884.5833482286885,101.27797587202886,360.0,1.0,2,1,33149,3,25.94,-80.3
8913,8,157,131,1,40,1,2,0,0,853,764.2200390227756,148.4870974887582,360.0,1.0,0,1,33169,6,25.9,-80.21
8914,381,176,35,1,26,0,2,1,1,1380,3007.4183608841236,103.54710760063351,360.0,1.0,2,1,33135,3,25.56,-80.19
8915,292,287,111,0,26,0,0,0,1,1915,686.0643065069128,238.0119609822473,480.0,0.0,0,1,33190,0,25.6,-80.27
8919,279,42,46,1,25,0,0,0,0,1366,1584.5309872196426,178.31339870894908,360.0,1.0,2,0,33179,3,25.81,-80.3
8924,209,108,26,1,45,0,0,0,0,3338,2000.9776190110847,120.25897705081817,360.0,1.0,2,0,33132,3,25.96,-80.36
8926,43,196,114,1,39,1,0,0,0,1437,860.6103367155434,138.53693734914927,360.0,1.0,2,1,33174,3,25.76,-80.5
8928,161,177,99,1,21,0,0,0,0,5245,2746.8828650098594,145.64085569630504,180.0,1.0,0,1,33145,4,25.76,-80.33
8931,247,196,69,1,24,0,3,0,0,2062,1760.5741252479527,114.82713205664619,180.0,1.0,0,0,33158,3,25.85,-80.14
8932,65,247,39,1,20,0,1,0,0,1537,1732.0926525073069,120.64902039003977,360.0,1.0,1,0,33018,4,25.7,-80.41
8938,66,294,96,1,23,1,0,0,1,865,3365.5297757821977,148.62857571434563,360.0,1.0,0,1,33135,3,25.71,-80.27
8940,11,68,19,1,25,0,0,0,0,1173,1686.8308527093243,111.86253762010377,360.0,1.0,2,1,33146,0,25.79,-80.26
8941,331,4,79,1,49,1,0,0,0,844,736.3988939376611,191.7542512208052,360.0,1.0,1,1,33035,3,25.7,-80.3
8942,221,333,156,0,20,1,1,0,0,2572,3597.392304520931,137.2927932649939,360.0,1.0,0,0,33187,3,25.76,-80.21
8943,344,71,138,1,20,1,0,0,1,3087,1848.9940491705202,98.59448677245479,180.0,1.0,2,1,33157,3,25.76,-80.13
8944,332,177,114,1,26,1,0,0,0,2400,992.9402164041106,107.56047460394635,360.0,1.0,0,1,33013,3,25.89,-80.18
8945,149,69,135,1,29,0,0,0,0,824,2474.3102221744166,108.17780986004728,360.0,1.0,0,1,33168,0,25.76,-80.36
8950,404,110,135,1,43,0,2,0,0,2400,1310.8830773664527,133.08992762832662,180.0,0.0,2,1,33101,1,25.76,-80.46
8953,355,137,94,1,25,0,0,0,0,2640,1514.7974253139848,153.06833884643706,360.0,0.0,1,1,33134,3,25.9,-80.36
8956,310,305,119,1,31,0,1,0,0,2618,988.7595714425921,294.2260646601171,360.0,0.0,2,1,33145,3,25.94,-80.24
8958,222,113,71,1,46,0,3,0,0,2208,2581.134297092605,95.05321043872858,360.0,1.0,2,1,33129,3,25.56,-80.49
8960,66,211,135,1,49,1,0,0,0,1919,1299.0521385828984,229.31733640001838,480.0,1.0,1,0,33032,0,25.91,-80.15
8964,36,281,73,1,50,1,0,0,0,1925,1270.9104405228454,121.18325254718982,360.0,1.0,2,0,33158,3,25.68,-80.36
8966,276,104,52,1,25,0,0,0,0,1557,791.0383228669698,240.5365019375209,360.0,1.0,1,1,33155,1,25.78,-80.14
8971,263,252,160,1,39,1,3,0,1,4927,2241.2192347383807,94.64809651432293,360.0,1.0,1,0,33141,3,25.88,-80.36
8972,11,188,14,1,22,0,0,1,0,2187,1292.071101751322,96.85752542935568,360.0,0.0,1,1,33165,1,25.46,-80.18
8973,348,25,18,1,23,0,1,0,0,1000,2204.872647728956,105.73100358907206,360.0,0.0,1,0,33014,3,25.82,-80.3
8989,320,321,1,1,36,1,0,1,0,1171,1682.5776637123233,141.8428874287884,360.0,0.0,1,1,33039,3,25.76,-80.58
8990,115,329,165,1,29,1,2,1,1,2994,1365.416546698286,142.67084996082053,300.0,1.0,0,1,33131,3,25.96,-80.29
8996,29,345,130,1,24,0,2,0,1,1089,2303.3486660909966,231.90084753680597,360.0,0.0,0,1,33039,3,25.56,-80.4
8998,18,126,114,1,37,0,0,0,0,5902,2308.5686554388158,118.77622290383175,360.0,1.0,2,1,33179,3,25.76,-80.24
9000,64,151,1,0,30,0,0,1,0,977,1305.9405702910867,118.29685822577598,360.0,1.0,2,1,33168,3,25.46,-80.3
9003,174,336,12,1,37,0,0,0,0,1353,3174.426836194465,129.60464781198456,480.0,1.0,1,1,33182,3,25.9,-80.4
9004,208,73,59,0,21,0,0,0,0,4008,2463.0204035069146,116.87221932784618,360.0,1.0,1,0,33166,3,25.49,-80.26
9005,279,212,6,1,26,1,0,0,0,7050,1173.146417532306,130.49709668170226,180.0,1.0,0,1,33193,3,25.92,-80.63
9008,277,296,1,1,29,1,0,0,0,1470,1315.1618325224874,210.15910086887837,360.0,0.0,1,1,33147,3,25.76,-80.3
9009,236,288,60,1,24,0,0,0,0,5953,879.2270489342682,109.20559693132034,360.0,1.0,1,1,33155,1,25.56,-80.4
9012,218,226,30,1,29,1,0,1,0,966,2040.7472222577067,97.30314376285408,360.0,1.0,0,1,33140,3,25.82,-80.24
9013,3,53,51,1,27,0,3,0,0,3531,2194.06826255784,192.17944323283535,180.0,0.0,2,1,33172,2,25.91,-80.18
9015,38,87,118,1,19,0,0,1,0,1529,1798.574614702737,114.00773049821444,360.0,1.0,1,1,33169,3,25.77,-80.18
9017,352,80,1,1,23,0,2,0,0,2099,2968.0884450648164,158.02007648220646,180.0,1.0,0,1,33169,3,25.9,-80.51
9023,375,208,30,1,24,1,0,1,0,2668,2133.675275012057,111.6279627780288,300.0,1.0,2,0,33018,3,25.85,-80.24
9031,378,233,174,1,20,0,0,0,0,1091,3124.296886658061,99.33792260117355,300.0,1.0,2,1,33149,3,25.81,-80.27
9034,39,338,135,1,40,0,2,0,0,2612,2539.902701146067,136.27961363641157,360.0,1.0,2,1,33169,3,25.72,-80.2
9035,114,84,106,1,22,1,2,1,1,7472,1205.4166773641962,122.70344851718085,360.0,1.0,0,1,33178,3,25.79,-80.21
9036,339,188,135,1,25,1,0,0,0,2401,2476.9618928767136,163.5411272131568,360.0,1.0,0,0,33172,3,25.76,-80.31
9042,187,194,58,1,40,0,2,0,0,902,1641.570884099642,173.72711427278378,360.0,0.0,0,1,33030,3,25.52,-80.45
9043,304,61,117,1,28,0,2,0,0,2444,1614.1073954698766,199.51892879565852,480.0,1.0,0,1,33013,3,25.78,-80.5
9045,376,93,23,1,42,1,0,0,0,1092,1102.162662248284,107.59484194543757,360.0,1.0,0,1,33149,3,25.96,-80.14
9048,200,30,27,1,34,0,3,0,1,2321,1869.977056755904,128.10718998431375,360.0,1.0,1,1,33156,0,25.77,-80.14
9049,92,196,114,1,42,0,0,0,0,1076,1774.7548236521802,104.79993607152635,180.0,1.0,0,1,33146,3,25.89,-80.15
9053,10,183,26,1,36,1,0,0,0,1584,955.4842877353939,93.36173530917122,360.0,1.0,0,0,33122,3,25.93,-80.31
9054,223,247,18,1,23,1,2,0,1,4230,3627.8654822593894,155.76452766570745,360.0,0.0,0,1,33135,3,25.76,-80.27
9055,19,94,114,1,49,1,0,0,0,2721,2908.804299949457,102.51345189373896,180.0,1.0,0,1,33125,3,25.79,-80.28
9056,241,159,152,1,25,1,0,1,0,962,1211.9584471118937,129.91958308663894,360.0,1.0,2,1,33166,3,25.67,-80.13
9057,371,200,42,1,42,0,0,0,0,1610,3098.368204368603,134.03426005821032,360.0,1.0,2,1,33179,3,25.76,-80.18
9060,255,110,172,0,38,0,0,0,0,1244,2502.7325792427837,151.32624307478488,180.0,1.0,1,1,33014,3,25.77,-80.35
9064,135,3,55,1,22,0,0,0,1,6380,1513.5750649168033,139.98655072473954,360.0,0.0,1,1,33140,3,25.7,-80.14
9066,167,31,135,1,48,0,1,0,0,2494,2954.5748277267353,193.24070788227033,300.0,0.0,1,1,33186,3,25.93,-80.24
9069,358,5,10,1,33,0,0,0,0,2079,1232.3334817580821,205.48129956498843,180.0,1.0,1,1,33149,6,25.76,-80.33
9070,320,104,135,1,25,0,2,0,0,2839,448.18838798535535,165.13868067327058,360.0,1.0,0,1,33194,3,25.9,-80.24
9071,390,339,101,1,30,1,0,0,0,838,1097.435991660988,115.5754929089714,360.0,1.0,0,1,33175,0,25.77,-80.19
9072,67,4,5,1,30,1,3,0,0,3027,2220.3471084399757,107.99907225320726,360.0,1.0,0,1,33186,3,25.52,-80.24
9077,109,231,128,1,36,1,0,0,0,2098,1543.1379025011684,138.73457231351986,360.0,1.0,2,1,33031,3,25.79,-80.33
9078,344,146,114,1,26,1,0,0,0,6137,1213.9634076672387,118.28280910867785,180.0,1.0,1,0,33166,1,25.76,-80.33
9081,308,234,14,1,19,1,3,1,0,2463,823.3354562222041,96.47956212214581,360.0,0.0,2,1,33196,3,25.65,-80.16
9082,313,171,135,1,33,1,0,1,0,2468,1900.3091254703836,201.15930506858658,360.0,1.0,2,0,33186,3,25.76,-80.41
9087,159,48,158,1,36,1,0,0,0,1589,2547.695280502505,126.41457011498595,360.0,0.0,1,1,33145,3,25.7,-80.29
9088,331,309,69,1,47,0,0,1,0,5648,1367.5522221803687,103.22126894684581,360.0,1.0,0,1,33166,3,25.91,-80.51
9098,48,127,135,1,26,0,0,0,1,2232,2177.609611247385,190.70804709926946,360.0,0.0,1,1,33165,3,25.76,-80.45
9099,193,306,167,1,30,1,0,0,0,1552,818.6186889677468,130.55180130686813,360.0,1.0,0,1,33142,1,25.86,-80.15
9100,58,177,130,0,49,1,0,0,0,1146,1328.8777588395737,133.1322867644946,360.0,1.0,0,1,33031,3,25.83,-80.19
9101,119,47,53,1,31,0,2,0,0,2214,2132.129903837137,108.22929718148646,180.0,0.0,2,1,33172,3,25.76,-80.27
9104,320,267,154,0,20,1,0,0,0,1774,1394.767208828045,150.7951009227743,360.0,0.0,0,0,33193,3,25.75,-80.14
9111,202,145,17,1,19,0,0,0,0,2184,1591.163031972711,102.53205129144166,360.0,0.0,1,1,33184,3,25.7,-80.14
9112,264,279,62,0,23,0,1,0,0,2244,1678.4445446613893,117.83436966386785,360.0,0.0,0,1,33182,3,25.77,-80.49
9117,407,123,114,1,23,0,2,0,0,1681,1476.5439425223453,192.27341283266423,360.0,0.0,2,0,33012,3,25.76,-80.41
9118,315,356,144,1,27,1,0,0,0,1033,934.0028183986394,256.74306476056086,360.0,1.0,0,1,33185,3,25.7,-80.18
9121,221,252,114,1,38,0,0,1,0,2621,2450.201640413017,145.636243010607,360.0,1.0,1,1,33137,3,25.77,-80.24
9130,358,304,135,1,25,0,0,0,0,1920,1775.3747975436227,166.81739322663898,360.0,1.0,2,1,33150,3,25.78,-80.14
9133,76,247,114,1,23,1,0,0,0,2375,3134.878474182598,271.57716743542454,360.0,1.0,0,0,33156,0,25.89,-80.45
9134,321,166,135,1,25,0,0,0,0,1363,2339.585000255287,233.17313074317778,360.0,1.0,0,0,33184,3,25.82,-80.45
9135,385,181,5,1,23,0,1,0,1,1112,1370.0928825663277,135.18772629309183,36.0,1.0,0,1,33143,3,25.91,-80.23
9137,104,108,1,1,32,0,0,0,0,1316,3823.8235927989454,111.94899546003835,360.0,1.0,2,1,33182,3,25.64,-80.27
9141,223,103,46,1,35,1,1,0,0,2227,1887.9698305307984,134.7586968585084,360.0,0.0,2,1,33194,3,25.64,-80.5
9146,171,330,73,0,31,1,0,1,1,3905,2323.586861240574,153.0943902016765,360.0,1.0,0,1,33177,3,25.7,-80.5
9147,306,243,130,1,26,1,0,0,0,1666,1171.6268697040566,131.42254580882573,360.0,1.0,1,1,33180,3,25.73,-80.35
9148,385,283,17,1,25,1,3,0,1,3150,1778.627604705704,114.93861656763207,180.0,1.0,0,1,33160,6,25.75,-80.17
9149,34,43,135,1,39,1,0,1,0,1404,2164.3697919020215,176.86786884362778,360.0,1.0,1,0,33190,3,25.93,-80.2
9151,329,183,135,1,33,1,1,0,1,2027,1000.1396272643102,125.30777176080448,360.0,0.0,0,0,33139,3,25.7,-80.31
9153,345,92,114,1,37,1,1,0,1,2695,1847.745135273872,155.1408741938002,180.0,0.0,1,1,33168,3,25.93,-80.45
9154,46,229,135,1,24,0,0,0,0,3250,1950.803793007092,139.027400980543,360.0,1.0,0,1,33174,3,25.48,-80.27
9158,360,281,26,0,47,1,1,0,0,1422,2800.6380527425463,274.59626859349936,84.0,0.0,0,1,33180,3,25.96,-80.45
9159,198,338,26,1,24,0,1,0,0,8484,1027.5153996268023,142.2531993139451,180.0,1.0,0,0,33190,0,25.76,-80.29
9160,198,155,45,1,46,0,0,0,0,1708,3659.3627835692164,159.76085375774056,360.0,1.0,1,1,33149,3,25.7,-80.41
9161,88,297,35,1,47,0,0,0,0,1553,2527.022729941734,217.58901287167967,120.0,1.0,1,1,33125,3,25.77,-80.36
9162,362,80,1,1,20,0,1,0,0,1811,1882.2611647110737,147.89611112906715,360.0,0.0,2,1,33185,0,25.7,-80.4
9165,377,81,135,1,40,0,0,0,0,1438,1390.1270448484202,146.69468505098826,480.0,1.0,2,0,33034,1,25.85,-80.4
9169,336,222,26,1,47,1,0,0,0,1143,2127.096709337527,152.35393069792548,360.0,1.0,2,1,33137,3,25.92,-80.31
9170,367,197,21,1,34,0,0,0,0,1229,2195.571483941841,215.7320430563158,360.0,1.0,1,1,33156,0,25.73,-80.47
9171,389,94,1,1,22,0,0,0,0,1321,822.3957593667401,156.961162759361,360.0,0.0,0,1,33015,3,25.78,-80.19
9172,384,339,26,1,52,1,0,0,1,972,1245.9050891902716,118.30043973985104,300.0,1.0,1,1,33135,1,25.61,-80.39
9175,245,6,159,1,32,1,0,1,1,1402,832.4818953742611,129.51043448791197,360.0,1.0,2,0,33144,3,25.92,-80.24
9176,30,110,137,1,28,1,0,0,0,2402,2285.433434176993,137.21861628109554,360.0,1.0,0,1,33033,3,25.48,-80.3
9181,140,170,114,1,42,0,2,0,0,2208,2336.063014247053,170.67680086994616,360.0,0.0,2,1,33127,3,25.85,-80.41
9182,184,212,10,1,43,1,1,0,0,1465,3142.2964403132473,124.62778295612023,180.0,1.0,0,1,33014,3,25.56,-80.41
9185,87,143,135,0,42,1,0,0,0,1602,859.9829765272749,254.3664186775697,360.0,1.0,1,1,33137,0,25.52,-80.41
9187,1,311,117,1,34,0,1,0,1,3343,981.968529126605,179.32102148528818,120.0,0.0,1,1,33149,3,25.75,-80.31
9189,224,196,16,1,29,0,1,0,0,1645,1751.7243472402972,138.77804741120096,360.0,1.0,2,1,33032,2,25.81,-80.28
9190,378,104,140,1,26,0,0,0,0,1580,2176.3294246135674,147.37112341593308,360.0,1.0,1,1,33182,3,25.76,-80.46
9197,93,45,135,1,45,0,0,0,1,3606,2819.2270717914503,253.42021811092732,360.0,1.0,0,1,33177,3,25.86,-80.31
9205,18,44,33,1,40,0,0,0,0,7099,1737.2201308705457,215.90204929478122,360.0,1.0,0,1,33149,4,25.85,-80.28
9206,141,244,15,1,43,0,0,0,0,3323,1996.3828824106738,126.56907264352228,360.0,1.0,1,1,33122,3,25.95,-80.4
9207,107,54,145,1,22,1,0,1,0,1841,795.8083109900832,179.43505235907992,360.0,1.0,1,1,33180,3,25.76,-80.14
9209,103,2,114,1,32,0,2,0,0,1291,771.1193650348249,208.345583317092,360.0,1.0,0,1,33156,3,25.56,-80.13
9211,386,84,136,1,22,1,2,0,0,1345,1962.600862576891,119.73178274319834,360.0,1.0,0,1,33181,3,25.85,-80.14
9212,187,54,80,1,43,0,0,0,0,6660,3310.431345754204,190.2891845972963,360.0,1.0,2,1,33155,3,25.9,-80.27
9213,240,219,114,1,46,0,0,0,1,1507,2795.9327172789267,109.37000562004077,180.0,1.0,0,1,33190,1,25.68,-80.23
9214,191,287,93,1,49,0,0,0,0,1100,2371.6850314294043,145.48185127982316,360.0,1.0,2,0,33130,3,25.78,-80.3
9217,70,328,155,1,40,1,0,0,0,1715,2582.259874227735,138.1294281524831,360.0,1.0,1,1,33131,3,25.85,-80.47
9219,162,238,68,1,50,0,2,0,0,5222,2209.881865186531,114.99207541201743,360.0,1.0,0,1,33034,7,25.74,-80.18
9220,336,130,134,1,46,1,0,0,0,2152,3878.9542382843238,135.26672573304998,360.0,1.0,0,1,33015,3,25.81,-80.47
9225,304,225,158,1,20,1,0,0,0,1584,1440.8270019109693,172.6847679703958,360.0,0.0,2,1,33149,3,25.27,-80.34
9227,33,325,135,1,20,0,2,0,0,1390,1297.737213526961,139.43307923588898,360.0,1.0,0,0,33155,3,25.7,-80.26
9232,210,251,163,1,24,0,0,0,1,1682,1383.4466187486578,154.58753272469852,360.0,1.0,1,1,33138,3,25.76,-80.49
9233,47,181,54,1,21,1,0,0,0,2168,1179.5199212579732,106.8755806463053,360.0,0.0,1,1,33034,3,25.96,-80.2
9236,144,69,126,0,36,1,0,0,0,745,2086.1587067456567,144.46303733045175,360.0,1.0,2,0,33167,3,25.93,-80.14
9237,100,86,33,1,23,0,1,1,0,1366,1258.6200795568213,126.60803708738597,360.0,1.0,1,1,33184,1,25.81,-80.18
9238,314,168,83,0,42,1,2,0,0,767,2240.317529376557,95.97573389075657,360.0,1.0,0,0,33035,3,25.79,-80.4
9239,240,270,147,1,37,1,0,1,1,1882,1572.2668041126185,110.40804361684073,300.0,1.0,0,1,33136,4,25.96,-80.32
9240,376,316,114,1,29,0,0,0,0,2297,1857.618987643294,113.06939582609937,120.0,1.0,0,1,33035,3,25.96,-80.3
9241,24,143,16,1,29,0,0,0,1,2164,1142.0104811222009,97.05940350722469,360.0,0.0,0,1,33156,3,25.75,-80.17
9242,284,341,1,1,27,1,0,0,0,1445,2291.3574200945504,162.64436414124646,84.0,1.0,2,0,33167,3,25.93,-80.36
9243,91,270,81,1,26,1,1,0,0,7449,1340.3665687809353,118.5809839999887,180.0,1.0,2,1,33012,5,25.71,-80.16
9247,223,158,114,1,32,0,0,0,0,4032,751.4253786555711,230.75459852752658,180.0,1.0,2,1,33139,3,25.89,-80.38
9248,39,342,33,1,49,0,0,1,0,1436,1283.710550567415,150.17244936369036,360.0,1.0,2,1,33016,3,25.78,-80.34
9249,52,0,135,1,44,0,0,0,0,1763,1257.0905597928656,138.11766564471498,360.0,1.0,1,1,33162,6,25.78,-80.3
9251,381,285,166,1,26,0,0,0,0,1048,2299.8565430730564,119.38242623791129,360.0,1.0,1,0,33131,3,25.7,-80.36
9253,94,27,101,1,31,1,0,0,0,1515,684.0317981719948,284.0762013569401,360.0,1.0,0,1,33183,0,25.81,-80.32
9257,374,228,26,1,25,0,0,0,0,846,2305.887297655032,102.93053116618748,360.0,1.0,1,1,33160,3,25.53,-80.5
9258,404,200,135,1,22,0,2,1,0,1291,2460.0403800423846,338.44933672079827,180.0,1.0,1,1,33054,3,25.96,-80.14
9259,201,64,114,1,35,0,2,0,0,1164,2964.049181492053,149.97100147516775,360.0,1.0,2,0,33018,3,25.6,-80.34
9261,151,65,54,1,37,0,3,1,0,1959,3295.4146577985166,116.29141513859226,84.0,0.0,0,1,33181,0,25.9,-80.41
9265,195,191,135,1,32,0,0,0,0,777,1725.8579568808666,106.03781818402435,360.0,1.0,0,1,33169,0,25.91,-80.36
9267,233,310,106,1,27,0,0,1,0,1805,1010.7281397265658,157.6357412750862,360.0,1.0,2,1,33150,3,25.85,-80.2
9269,204,217,124,0,34,0,2,1,0,3361,1940.682833155463,233.85366526746475,360.0,1.0,0,1,33014,3,25.77,-80.32
9271,237,316,46,1,40,0,3,0,0,1177,2205.9983713682586,160.25900565105286,360.0,1.0,1,1,33146,0,25.7,-80.4
9273,350,345,86,1,25,0,0,1,0,2008,1461.8369821169467,183.77146553891163,360.0,1.0,1,1,33146,3,25.78,-80.21
9275,225,164,1,1,23,0,2,0,0,1485,1999.1021699686862,164.23438551602212,60.0,1.0,2,1,33149,3,25.85,-80.35
9276,238,18,162,0,28,1,1,0,1,1018,2093.1076032327987,96.4534762182854,360.0,1.0,0,0,33185,1,25.27,-80.27
9277,364,48,135,1,54,1,0,0,0,4996,2081.8229628902145,96.28461511673551,360.0,1.0,1,1,33168,3,25.68,-80.26
9278,231,340,151,1,38,0,0,0,0,2295,1325.9508047031686,148.4684562515749,360.0,0.0,1,1,33196,3,25.89,-80.2
9279,381,29,126,1,27,1,0,1,0,1335,2225.750406279268,98.72223185647303,360.0,1.0,1,0,33190,3,25.52,-80.45
9280,359,282,135,1,25,0,0,0,0,1051,1700.010690817647,130.154264275264,360.0,1.0,0,1,33144,0,25.5,-80.36
9281,109,273,135,0,38,1,0,1,0,2232,2773.622744502129,131.42218801823736,360.0,1.0,0,1,33160,3,25.88,-80.35
9285,243,296,1,1,42,1,0,0,0,5371,1967.552116441923,158.10261193633858,360.0,1.0,0,1,33143,3,25.96,-80.4
9286,219,57,114,1,34,0,0,0,0,3349,2508.9486945722665,98.99667320803756,300.0,1.0,0,0,33125,4,25.76,-80.14
9288,343,309,16,1,21,0,1,0,1,3805,1942.771581028162,93.84037100976106,360.0,1.0,0,0,33139,0,25.85,-80.17
9289,49,189,158,1,33,1,1,0,0,2061,1943.0128897133784,161.90070828438328,360.0,1.0,0,1,33101,3,25.53,-80.36
9291,353,336,53,1,24,1,0,0,0,2267,2939.926554472122,142.02005170922016,360.0,1.0,0,1,33145,3,25.7,-80.29
9293,316,7,1,1,54,0,3,1,0,2715,4064.8108721223666,94.5988742363147,360.0,1.0,1,1,33186,3,25.83,-80.49
9296,347,126,114,1,31,1,3,1,0,2457,1152.9013788938519,121.44506557935672,360.0,1.0,2,1,33137,3,25.86,-80.24
9299,298,35,139,1,46,1,1,0,0,2057,720.3199048552448,138.54393254437147,300.0,1.0,0,1,33138,3,25.93,-80.27
9301,284,296,155,1,34,1,0,0,0,5292,1650.1809469557188,97.8728573945206,360.0,0.0,1,1,33133,0,25.9,-80.3
9302,299,91,135,1,26,1,0,0,0,3358,1833.8313306871512,169.91805398993577,360.0,1.0,0,1,33184,3,25.83,-80.15
9303,167,197,118,0,34,1,1,1,0,1070,1888.5117297944025,126.46252271776763,360.0,0.0,1,1,33176,3,25.7,-80.4
9304,103,297,114,1,22,0,0,1,0,1073,2127.6738235887915,95.6941851956467,360.0,1.0,1,1,33039,3,25.93,-80.15
9308,272,144,135,1,39,0,2,0,0,1128,1776.0429726326424,99.2876282429431,360.0,1.0,2,0,33175,3,25.73,-80.24
9309,24,160,172,1,53,0,0,0,0,3909,1997.9686641318553,110.67888626747607,360.0,1.0,1,0,33169,3,25.82,-80.34
9310,151,50,9,1,37,1,3,0,0,2862,2879.3806969063007,93.15239225855566,360.0,0.0,0,1,33187,3,25.48,-80.58
9312,11,130,111,1,53,1,0,0,0,2857,2281.153778179302,134.23532432697604,360.0,0.0,1,1,33033,0,25.94,-80.36
9313,348,288,1,1,25,1,0,0,0,1000,1302.2964973671187,163.47735222888662,360.0,0.0,0,0,33180,1,25.76,-80.24
9314,270,51,166,1,36,1,0,0,0,1721,3826.23049478744,287.0007604342343,360.0,1.0,1,1,33010,3,25.52,-80.36
9316,62,54,2,1,23,1,0,0,0,1654,1558.4684076983822,98.75862073677828,360.0,0.0,2,1,33181,3,25.7,-80.18
9321,248,293,14,1,44,1,0,1,0,1281,1519.0932891922116,99.97854185797196,360.0,1.0,1,1,33190,3,25.61,-80.18
9324,75,2,114,1,46,1,1,0,0,4789,1677.9930901471084,122.7447696084887,360.0,1.0,0,1,33130,3,25.46,-80.31
9325,86,285,114,1,38,0,0,0,0,2220,1444.0727283097092,114.99863118975146,360.0,1.0,1,1,33137,3,25.77,-80.41
9326,9,198,19,1,31,1,1,0,1,942,2466.6363759192272,120.85475988281534,360.0,0.0,2,1,33054,3,25.89,-80.18
9327,49,337,168,1,36,0,0,1,0,2458,863.9671588523668,134.5410980354509,180.0,0.0,2,1,33014,3,25.52,-80.3
9331,77,275,26,1,22,0,0,0,0,1680,1950.5061618028014,225.55559033317502,360.0,1.0,2,1,33172,3,25.81,-80.32
